recency,frequency,monetary
215,1,419.18
267,1,36.68
410,1,257.44
67,1,362.38
422,1,117.94
122,1,57.73
190,1,46.78
292,1,293.54
267,1,118.2
257,1,21.77
243,1,109.5
248,1,443.73
56,1,147.38
269,1,142.51
152,1,542.66
168,1,63.74
475,1,26.01
573,1,109.04
289,1,84.01
577,1,364.75
190,1,31.13
173,1,154.53
109,1,77.22
204,1,874.42
306,1,64.0
194,1,349.53
425,1,25.85
239,1,108.83
566,1,770.24
159,1,136.8
537,1,64.42
195,1,106.28
521,1,231.45
220,1,177.59
447,1,141.14
109,1,388.74
306,1,111.32
559,1,81.78
291,1,71.13
146,1,68.32
237,1,51.14
243,1,6.84
162,1,351.33
405,1,137.99
77,1,123.49
177,1,185.9
275,1,44.09
370,1,68.89
156,1,29.69
727,1,116.99
341,1,161.62
244,1,24.68
440,1,33.68
349,1,77.35
229,1,84.91
200,1,1429.59
179,1,63.44
402,1,74.16
173,1,82.23
451,1,90.88
252,1,115.65
597,1,111.01
241,1,8.42
244,1,95.31
518,2,315.12
234,1,60.85
360,1,47.69
509,1,102.03
444,1,43.91
174,1,50.71
359,1,51.0
140,1,155.52
76,1,37.25
390,1,1337.19
83,1,344.28
40,1,55.38
312,1,85.14
99,1,99.65
35,1,301.8
279,1,158.28
142,1,32.61
347,1,16.22
316,1,154.63
240,1,64.37
62,1,87.39
234,1,215.06
48,1,721.74
296,1,28.75
480,1,79.1
376,1,139.31
218,1,51.84
546,1,50.95
217,1,105.38
228,1,36.69
152,1,215.38
386,1,23.78
187,1,187.06
153,1,5.16
407,1,41.75
311,1,138.36
231,1,35.69
370,1,181.99
217,1,91.86
209,1,72.05
117,1,186.18
66,1,249.89
270,1,215.06
243,1,62.37
196,1,101.74
540,1,101.2
59,1,145.94
194,1,31.22
445,1,119.48
546,1,121.8
409,1,131.57
140,1,158.92
69,1,7.54
442,1,46.0
215,1,130.56
264,1,67.5
408,1,5.86
106,1,101.55
351,1,819.32
312,1,368.6
213,1,71.72
298,1,516.32
134,1,94.11
168,1,268.4
53,1,52.92
313,1,122.4
510,1,2794.5
53,1,285.59
514,1,84.45
263,1,36.11
215,1,86.02
504,1,84.03
329,1,62.0
228,1,43.47
154,1,153.92
201,1,50.13
423,1,116.96
257,1,60.7
173,1,189.07
318,1,145.06
511,1,45.84
298,1,50.62
63,1,37.79
498,1,97.21
161,1,117.35
101,1,190.33
58,1,54.14
383,1,39.75
172,1,336.24
478,1,180.51
