"","fiscal_period","region_product","sales_vol","year","month","apac","emea","la","na","fchem","fpoly","fchem_product","fpoly_product","pfa","region_code","region","value_to_USD","demand","oil_price","GDP","smi_avg","smi_std"
"1","2015P07","sales_vol_fchem_apac",4397919.46,2015,7,"1","0","0","0",1,0,4397919.46,0,"0","[1,0,0]","apac",123.265726,64.37,43.62,21795,660.795454545455,12.6246454838571
"2","2015P08","sales_vol_fchem_apac",4812213.4,2015,8,"1","0","0","0",1,0,4812213.4,0,"0","[1,0,0]","apac",123.214161,64.37,36.95,21795,619.077619047619,25.8398142223898
"3","2015P09","sales_vol_fchem_apac",3940076.06,2015,9,"1","0","0","0",1,0,3940076.06,0,"0","[1,0,0]","apac",120.1415,64.37,34.3,21795,605.460952380952,14.1203986858594
"4","2015P10","sales_vol_fchem_apac",4643721.7,2015,10,"1","0","0","0",1,0,4643721.7,0,"0","[1,0,0]","apac",120.136258,64.37,34.7,21795,643.825454545455,24.0925945404041
"5","2015P11","sales_vol_fchem_apac",5096386.14,2015,11,"1","0","0","0",1,0,5096386.14,0,"0","[1,0,0]","apac",122.555467,64.37,32.13,21795,662.7245,7.80557997103422
"6","2015P12","sales_vol_fchem_apac",5264943.68,2015,12,"1","0","0","0",1,0,5264943.68,0,"0","[1,0,0]","apac",121.61779,64.37,26.5,21795,672.488181818182,8.93516628478712
"7","2016P01","sales_vol_fchem_apac",4543686.78,2016,1,"1","0","0","0",1,0,4543686.78,0,"0","[1,0,0]","apac",118.457194,67.28,19.96,22512,602.928421052632,22.5803907709415
"8","2016P02","sales_vol_fchem_apac",5007659.05,2016,2,"1","0","0","0",1,0,5007659.05,0,"0","[1,0,0]","apac",114.778466,67.28,21.24,22512,596.7805,20.2187402582747
"9","2016P03","sales_vol_fchem_apac",7782267.53,2016,3,"1","0","0","0",1,0,7782267.53,0,"0","[1,0,0]","apac",112.976274,67.28,24.99,22512,658.052272727273,13.591735910653
"10","2016P04","sales_vol_fchem_apac",7103839.24,2016,4,"1","0","0","0",1,0,7103839.24,0,"0","[1,0,0]","apac",109.79655,67.28,26.84,22512,671.662380952381,5.93780338573273
"11","2016P05","sales_vol_fchem_apac",6442151.76,2016,5,"1","0","0","0",1,0,6442151.76,0,"0","[1,0,0]","apac",108.739032,67.28,30.39,22512,654.551904761905,22.1926633415297
"12","2016P06","sales_vol_fchem_apac",6417466.6,2016,6,"1","0","0","0",1,0,6417466.6,0,"0","[1,0,0]","apac",105.513333,67.28,30.74,22512,694.69,14.7182047947755
"13","2016P07","sales_vol_fchem_apac",4392223.21,2016,7,"1","0","0","0",1,0,4392223.21,0,"0","[1,0,0]","apac",103.867129,67.28,27.81,22512,725.4515,32.5559357147534
"14","2016P08","sales_vol_fchem_apac",5520517.54,2016,8,"1","0","0","0",1,0,5520517.54,0,"0","[1,0,0]","apac",101.233242,67.28,27.85,22512,784.219130434783,15.2831972241185
"15","2016P09","sales_vol_fchem_apac",4602663.88,2016,9,"1","0","0","0",1,0,4602663.88,0,"0","[1,0,0]","apac",102.099817,67.28,27.8,22512,801.167142857143,14.38694308839
"16","2016P10","sales_vol_fchem_apac",3307710.31,2016,10,"1","0","0","0",1,0,3307710.31,0,"0","[1,0,0]","apac",103.673468,67.28,31.98,22512,822.136666666667,10.8359034387232
"17","2016P11","sales_vol_fchem_apac",3747003.33,2016,11,"1","0","0","0",1,0,3747003.33,0,"0","[1,0,0]","apac",108.52975,67.28,29.83,22512,848.376666666667,31.5619418498503
"18","2016P12","sales_vol_fchem_apac",3793386.57,2016,12,"1","0","0","0",1,0,3793386.57,0,"0","[1,0,0]","apac",116.073137,67.28,37.92,22512,898.417142857143,26.4650768264249
"19","2017P01","sales_vol_fchem_apac",4820459.67,2017,1,"1","0","0","0",1,0,4820459.67,0,"0","[1,0,0]","apac",115.093355,74.28,38.78,23996,926.8525,17.3312221681596
"20","2017P02","sales_vol_fchem_apac",4255706.5,2017,2,"1","0","0","0",1,0,4255706.5,0,"0","[1,0,0]","apac",112.865464,74.28,38.74,23996,969.751052631579,8.79664196961093
"21","2017P03","sales_vol_fchem_apac",6753246.51,2017,3,"1","0","0","0",1,0,6753246.51,0,"0","[1,0,0]","apac",112.988573,74.28,36.38,23996,994.59,13.2156302088921
"22","2017P04","sales_vol_fchem_apac",5964194.17,2017,4,"1","0","0","0",1,0,5964194.17,0,"0","[1,0,0]","apac",110.149052,74.28,36.33,23996,993.981052631579,16.5475868985101
"23","2017P05","sales_vol_fchem_apac",7867739.75,2017,5,"1","0","0","0",1,0,7867739.75,0,"0","[1,0,0]","apac",112.234879,74.28,35.68,23996,1045.63181818182,30.2911723171343
"24","2017P06","sales_vol_fchem_apac",8362482.83,2017,6,"1","0","0","0",1,0,8362482.83,0,"0","[1,0,0]","apac",110.8545,74.28,32.41,23996,1085.08545454545,22.4222316818169
"25","2017P07","sales_vol_fchem_apac",6306686.25,2017,7,"1","0","0","0",1,0,6306686.25,0,"0","[1,0,0]","apac",112.338871,74.28,33.64,23996,1085.188,27.4927800282949
"26","2017P08","sales_vol_fchem_apac",6100402.03,2017,8,"1","0","0","0",1,0,6100402.03,0,"0","[1,0,0]","apac",109.796917,74.28,34.72,23996,1084.53565217391,11.0682296466003
"27","2017P09","sales_vol_fchem_apac",6237333.26,2017,9,"1","0","0","0",1,0,6237333.26,0,"0","[1,0,0]","apac",110.6931,74.28,37.35,23996,1132.5295,21.256843226297
"28","2017P10","sales_vol_fchem_apac",5595967.95,2017,10,"1","0","0","0",1,0,5595967.95,0,"0","[1,0,0]","apac",112.931667,74.28,39.5,23996,1218.88954545455,26.7582783767624
"29","2017P11","sales_vol_fchem_apac",5302296.13,2017,11,"1","0","0","0",1,0,5302296.13,0,"0","[1,0,0]","apac",112.798983,74.28,43.25,23996,1306.37714285714,19.5550456769748
"30","2017P12","sales_vol_fchem_apac",4884854.07,2017,12,"1","0","0","0",1,0,4884854.07,0,"0","[1,0,0]","apac",112.897742,74.28,43.77,23996,1253.1165,17.4883212985725
