,vif
seller_state_SP,inf
product_category_name_eletroportateis,inf
product_category_name_alimentos,inf
product_category_name_alimentos_bebidas,inf
product_category_name_artes,inf
product_category_name_artes_e_artesanato,inf
product_category_name_artigos_de_festas,inf
product_category_name_artigos_de_natal,inf
product_category_name_audio,inf
product_category_name_automotivo,inf
product_category_name_bebes,inf
product_category_name_bebidas,inf
product_category_name_beleza_saude,inf
product_category_name_brinquedos,inf
product_category_name_cama_mesa_banho,inf
product_category_name_casa_conforto,inf
product_category_name_casa_conforto_2,inf
product_category_name_casa_construcao,inf
product_category_name_cds_dvds_musicais,inf
product_category_name_cine_foto,inf
product_category_name_climatizacao,inf
product_category_name_consoles_games,inf
product_category_name_construcao_ferramentas_construcao,inf
product_category_name_construcao_ferramentas_ferramentas,inf
product_category_name_construcao_ferramentas_iluminacao,inf
product_category_name_construcao_ferramentas_jardim,inf
seller_state_SE,inf
product_category_name_cool_stuff,inf
product_category_name_dvds_blu_ray,inf
product_category_name_eletrodomesticos,inf
product_category_name_eletrodomesticos_2,inf
product_category_name_agro_industria_e_comercio,inf
payment_type_voucher,inf
payment_type_debit_card,inf
customer_state_PA,inf
customer_state_AC,inf
customer_state_AL,inf
customer_state_AM,inf
customer_state_AP,inf
customer_state_BA,inf
customer_state_CE,inf
customer_state_DF,inf
customer_state_ES,inf
customer_state_GO,inf
customer_state_MA,inf
customer_state_MG,inf
customer_state_MS,inf
customer_state_MT,inf
customer_state_PB,inf
payment_type_credit_card,inf
customer_state_PE,inf
customer_state_PI,inf
customer_state_PR,inf
customer_state_RJ,inf
customer_state_RN,inf
customer_state_RO,inf
customer_state_RR,inf
customer_state_RS,inf
customer_state_SC,inf
customer_state_SE,inf
customer_state_SP,inf
customer_state_TO,inf
payment_type_boleto,inf
product_category_name_eletronicos,inf
product_category_name_construcao_ferramentas_seguranca,inf
product_category_name_esporte_lazer,inf
product_category_name_pet_shop,inf
product_category_name_portateis_cozinha_e_preparadores_de_alimentos,inf
product_category_name_relogios_presentes,inf
product_category_name_seguros_e_servicos,inf
product_category_name_sinalizacao_e_seguranca,inf
product_category_name_tablets_impressao_imagem,inf
product_category_name_fashion_bolsas_e_acessorios,inf
product_category_name_telefonia_fixa,inf
product_category_name_utilidades_domesticas,inf
seller_state_AC,inf
seller_state_AM,inf
seller_state_BA,inf
seller_state_CE,inf
seller_state_DF,inf
seller_state_ES,inf
seller_state_GO,inf
seller_state_MA,inf
seller_state_MG,inf
seller_state_MS,inf
seller_state_MT,inf
seller_state_PA,inf
seller_state_PB,inf
seller_state_PE,inf
seller_state_PI,inf
seller_state_PR,inf
seller_state_RJ,inf
seller_state_RN,inf
seller_state_RO,inf
seller_state_RS,inf
seller_state_SC,inf
product_category_name_portateis_casa_forno_e_cafe,inf
product_category_name_telefonia,inf
product_category_name_perfumaria,inf
product_category_name_livros_importados,inf
product_category_name_fashion_calcados,inf
product_category_name_fashion_esporte,inf
product_category_name_fashion_roupa_feminina,inf
product_category_name_fashion_roupa_infanto_juvenil,inf
product_category_name_fashion_roupa_masculina,inf
product_category_name_fashion_underwear_e_moda_praia,inf
product_category_name_ferramentas_jardim,inf
product_category_name_pcs,inf
product_category_name_fraldas_higiene,inf
product_category_name_industria_comercio_e_negocios,inf
product_category_name_informatica_acessorios,inf
product_category_name_instrumentos_musicais,inf
product_category_name_la_cuisine,inf
product_category_name_flores,inf
product_category_name_livros_interesse_geral,inf
product_category_name_moveis_quarto,inf
product_category_name_livros_tecnicos,inf
product_category_name_pc_gamer,inf
product_category_name_papelaria,inf
product_category_name_other,inf
product_category_name_musica,inf
product_category_name_moveis_sala,inf
product_category_name_moveis_escritorio,inf
product_category_name_moveis_decoracao,inf
product_category_name_moveis_cozinha_area_de_servico_jantar_e_jardim,inf
product_category_name_moveis_colchao_e_estofado,inf
product_category_name_market_place,inf
product_category_name_malas_acessorios,inf
payment_value,3.837101169109841
price,3.6539938044826026
freight_value,3.2607953398769434
product_weight_g,2.865146191893964
overcharge,2.778036802403648
product_height_cm,1.922582437108072
product_width_cm,1.9048959687012712
product_length_cm,1.7640416936826875
payment_installments,1.4054846719692564
product_description_lenght,1.2448452176143054
product_photos_qty,1.1742659526544599
review_comment_title,1.1484127892290208
review_comment_message,1.1409440120243806
product_name_lenght,1.118500541422326
delay,1.0406417410935502
