customer_unique_id,recency,frequency,monetary
0011805441c0d1b68b48002f1d005526,67,1,297.14
0011857aff0e5871ce5eb429f21cdaf5,2,1,192.83
00191a9719ef48ebb5860b130347bf33,72,1,58.86
001a2bf0e46c684031af91fb2bce149d,1,1,36.73
002d71b244beb91ca7030b15ab526446,39,1,130.56
00324c9f4d710e7bac5c5ba679714430,9,2,109.78
0036a074f98b80c4f1fc33dbbcf9c552,49,1,42.62
0043d65f8039b4a4d43bc7b0f450ac2c,71,1,64.42
00444f48f6c9b55657e49435ce3a97ca,21,1,52.38
0049dadc30da6a277c1e9d371df5a66f,17,1,26.01
00522457bba00bba576a34fd9b4808fd,90,1,127.98
0059acd36094bf670ec8b21be6c0044c,18,1,46.69
007953b3182d5ccc9189a694f5c68163,76,1,112.08
00842c7d0cedb9e1edad8e9b7d148f09,86,1,64.55
008fb2ecc75561d202dd4db2e0ceec25,30,1,40.77
009301957bc7714394865c44650d8060,7,1,93.78
0093c499f4f9c0e169ead490aa62ce3e,18,1,226.22
009671b5dc80cdf32aeb5850868ba81c,9,1,110.72
0098f4847541cc7d676f9a5efc64c0f0,74,1,147.55
009e70fcdd4ea3769c73210414e73c64,11,1,49.69
00a7d14cb10e11b7f7d65120a7e3942f,79,1,64.42
00ac9cd5c4ad19e16e7c6f6864711737,63,1,231.45
00b72937dcd829c0d8ca72ec77cd073c,15,1,128.59
00cc7c54469f4177319d6bb12e883652,73,1,187.94
00cd767526517f8a4fc27db6cc5a52fa,3,1,95.21
00d03b5e33f8987549c5590313a4ef21,14,1,35.09
00d474cea9ceb88b7175d564b081dfa3,15,1,115.4
00dd4390a8e8ad7a126e8331decc49ce,50,1,109.31
00e707efa5ad9f0e6bcaeeb87910693b,74,1,34.86
00ecc71175078e2cac5547a5656e9622,20,1,235.13
0103751df12aea8b962cfbcd2b61104c,35,1,35.0
0104d8ef04b9df2891e69bc0e2e6dca4,78,1,475.47
01051cf3719a23faec8b2307b369faeb,34,1,147.96
011509f63f565e822767bfb89c3cf9b7,52,1,69.07
011fd4914a2d19b2a0e50c29cea5c6a2,55,1,261.9
012452d40dafae4df401bced74cdb490,12,1,155.26
0124721bc33e0aa6772b42d4ccfd01db,16,1,100.33
0130be8e6677174b8184114f98c16b3c,78,1,119.39
0139884762afa50d78fe480646fe92b5,58,1,70.79
0151b5ff5b5d642815f094f303e7052a,85,1,49.52
015557c9912277312b9073947804a7ba,60,1,72.9
0158b70c1d28da409abddfcaa5f0801a,65,1,77.06
015ba10edbe7988bff82867b4480c225,0,1,261.24
015fcc1fe9d3319fb41b08e986684598,6,1,317.35
016846e2dd862cba9a2a10eff5ac244f,49,1,474.96
0176190d05dbc46f20484610a0a0e1fb,64,1,305.7
0178b244a5c281fb2ade54038dd4b161,51,1,102.03
0181f57a87c6a2f0e0fe2807f67aef0e,51,1,29.1
0189955e61056a22dd6e7cb03603a149,22,1,111.81
0189cca3aa2a0f75ca0cde94ee38be57,25,1,100.33
018b5a7502c30eb5f230f1b4eb23a156,43,1,55.09
019322e670d197f31413176b865880fd,3,1,26.77
0199360d5869b53eece5870f3bd1ef0e,40,1,758.93
01a013f2d3d7b0fa074a09d3e6e7b611,78,1,302.54
01a20270c305052404127be803843f2f,26,1,162.25
01a3427def071b9efaf74a817c4e023b,36,1,31.6
01b7463b1d6850a0ddfb4a93e05d0671,44,1,129.01
01be09e08ce97be4356a7c93bda4ee70,43,1,55.11
01c289bb06354cdc7e6549570f20ada4,27,1,74.14
01cf555dad51551a56a1bdc9fbf2acd6,43,1,117.15
01d0f02781924f788fd9d0521663fae0,12,1,48.62
01d46b5cad3cda9c22f52df41197a671,78,1,40.86
01e80828765c999c3f5a7713f3912309,39,2,44.39
01e8bcc3377762cf85025138b2901947,72,1,221.64
01f2285f85a1c603eb7ef755ad311769,62,1,191.4
01fee81dfa09d00693bbb79aaf922f89,37,1,257.79
0206119a2f332d97fb68a9c1f592b2dc,22,1,79.1
0209a0a5c96cc50dd1bbe71e3730af2a,39,1,245.94
0209cc2349a03f00567bb9d24a459829,14,1,65.0
020a1ffcfaf43c6003111eaa33faa6c9,86,1,56.32
021ab4ee1c733fef68ef3ddbb6c4ea7e,50,1,55.94
021dbb48a965542d846e18a6799d37c0,1,1,158.13
021f9b70becbc032905f24f7e6c2d7d7,22,1,131.04
02278b7fe04a285092542fa4313cdc31,88,1,50.95
0245997602d4ec43390590e43dfd39d9,74,1,185.26
0246128cbe42bad650aca67dea148ecb,77,1,37.32
024741ae16493ea617e06ecc277c7069,7,1,66.34
024cf57b6da1f225b8b130dcd9093af9,56,1,154.12
0252e35d8aa0b7b19eb4fb96783bafca,22,1,69.17
02552fea6f4fa9a5c61bf9d22408ae73,83,1,251.76
025bc857299fac3e5c699322d2a1485d,9,1,48.01
025e4cdbeeffdff36f7f289a4b714965,22,1,76.17
026c7e2e8e363c7e734a716f9c70dfc3,31,1,40.0
027c8551b090d915b6c779c7e970ffef,66,1,33.51
0280239e6c4add91b8a415d9b2566649,89,1,133.95
02844e55117602121bb79fe70a59522a,25,1,570.98
02880ecd2c905f0a16fa1ae3d0884b1b,67,1,113.92
